Pitch (deg), Roll(deg), Bearing (deg from N), X rate (deg/s), Y rate (deg/s), Z rate (deg/s)
-3.8150, -0.1158, 42.1663, 0.175, 0.450, 0.221
-3.8412, -0.4278, 42.2626, -1.015, 0.511, -1.053
-3.8422, -0.0947, 42.1496, -0.008, -0.191, -0.420
-3.7773, -0.0281, 42.8418, 0.305, 0.381, 1.015
-3.8038, -0.1617, 42.8418, -0.252, 0.198, -0.420
-3.6883, 0.1023, 42.1828, 0.435, 0.038, 0.465
-3.4939, -0.1576, 42.5058, -0.191, -0.023, -1.045
-3.5803, 0.0175, 43.4667, 0.053, -0.275, -0.183
-3.5515, -0.0245, 41.8780, -0.053, 0.107, -0.351
-3.6866, -0.1853, 43.1524, -0.145, -0.008, -0.206
-3.6792, -0.0420, 43.1524, 0.069, 0.015, -0.252
-3.7910, -0.0879, 43.4667, 0.153, -0.031, -0.443
-3.6105, -0.0176, 42.5058, 0.137, 0.175, -0.145
-3.5470, -0.0734, 44.1175, -0.343, 0.381, -0.549
-3.8406, -0.2745, 43.5028, -0.435, -0.732, 0.549
-3.3323, -0.1732, 42.5347, -0.061, 0.206, -1.457
-3.8247, -0.0419, 41.8042, 0.648, 0.465, -0.114
-3.8872, 0.0562, 41.8042, 0.443, -0.557, 0.893
-3.6162, -0.0809, 41.1253, -0.252, 0.710, -1.274
-3.8050, -0.1683, 41.8960, -0.099, -0.046, 0.198
-3.6748, -0.0978, 41.1705, -0.031, -0.206, 0.046
-3.7240, 0.0351, 42.8162, -0.038, 0.359, -0.496
-3.6369, 0.0595, 43.2160, 0.008, 0.137, -0.061
-3.6664, 0.0281, 41.5963, -0.038, 0.053, -0.031
-3.7212, -0.0352, 41.5963, -0.107, 0.076, -0.389
-3.6235, -0.0526, 42.5489, -0.099, 0.145, -0.084
-3.6459, -0.0245, 41.1927, 0.038, 0.053, 0.023
-3.7669, -0.0527, 42.1327, -0.008, 0.145, -0.122
-3.6528, -0.0281, 41.8599, 0.038, 0.099, -0.229
-3.6088, -0.0945, 42.5769, -0.038, 0.191, -0.175
-3.6343, -0.1475, 42.5769, -0.053, 0.061, -0.053
-3.5846, -0.0105, 42.8543, -0.061, 0.107, -0.343
-3.6694, -0.0771, 42.1828, 0.000, 0.130, -0.183
-3.6750, -0.0141, 41.8780, -0.038, 0.046, 0.053
-3.7500, 0.0526, 41.0518, 0.145, 0.069, -0.130
-3.6882, -0.1119, 44.4467, -0.099, 0.244, -0.519
-3.8422, -0.1434, 43.5028, 0.206, -0.053, 0.404
-3.6008, -0.0527, 41.8599, 0.053, 0.076, 0.023
-3.6206, 0.0598, 41.8599, -0.122, 0.191, -0.084
-3.6687, 0.0316, 42.5058, 0.031, 0.076, 0.061
-3.5521, -0.0210, 41.9486, -0.038, 0.061, -0.229
-3.7358, -0.0842, 43.7618, -0.061, 0.244, -0.275
-3.7450, 0.0280, 42.5347, -0.046, 0.244, 0.008
-3.5864, -0.0455, 41.7853, 0.008, 0.099, -0.397
-3.5993, -0.0808, 41.7853, -0.053, 0.175, -0.221
-3.6611, 0.0175, 41.4760, 0.084, -0.069, -0.015
-3.5304, -0.0211, 41.2579, 0.084, 0.175, -0.214
-3.6459, 0.0175, 41.4966, -0.023, 0.031, 0.008
-3.5580, -0.0422, 42.4613, 0.031, 0.053, -0.061
-3.6436, -0.0526, 42.3674, -0.046, 0.084, -0.229
-3.7089, -0.0909, 43.5028, 0.000, 0.084, -0.015
-3.7699, 0.0106, 43.5028, -0.031, 0.076, -0.099
-3.6839, -0.0736, 42.5204, 0.092, 0.107, -0.023
-3.4860, -0.0491, 41.2147, 0.031, 0.069, 0.015
-3.5755, -0.1191, 41.5372, -0.023, 0.183, -0.092
-3.6922, -0.1259, 41.0790, 0.107, 0.053, -0.114
-3.8173, -0.0070, 42.8668, 0.023, 0.130, -0.122
-3.6706, -0.0420, 42.8791, 0.046, 0.076, -0.046
-3.6461, -0.0668, 42.8791, -0.053, 0.183, -0.130
-3.6504, 0.0211, 40.0796, -0.069, 0.153, -0.153
-3.7051, -0.0175, 44.1175, 0.015, 0.092, 0.038
-3.7572, -0.1054, 42.8791, -0.053, 0.183, -0.114
-3.5774, -0.1261, 40.5449, -0.053, 0.114, -0.069
-3.7178, 0.0070, 40.5705, 0.023, 0.153, 0.053
-3.6916, 0.0596, 40.5705, 0.008, 0.145, -0.099
-3.6455, -0.0455, 41.8780, 0.107, 0.053, -0.076
-3.6936, -0.0421, 42.4461, 0.046, 0.153, -0.076
-3.5491, -0.1294, 42.1828, 0.031, 0.130, -0.031
-3.7283, 0.0245, 42.1991, 0.000, 0.130, -0.122
-3.5517, -0.1157, 42.4613, -0.076, 0.061, -0.084
-3.6962, -0.2101, 42.4763, 0.031, 0.191, -0.076
-3.7104, -0.1088, 42.4763, -0.015, -0.031, -0.092
-3.6010, -0.0421, 43.5028, 0.084, 0.084, -0.160
-3.5166, -0.0770, 41.1253, 0.008, 0.153, -0.145
-3.6608, -0.0912, 43.7994, 0.214, -0.084, 0.130
-3.6796, 0.0351, 43.4939, -0.145, 0.313, -0.206
-3.7202, -0.0456, 42.8791, 0.076, 0.000, 0.114
-3.8681, -0.0561, 42.0983, 0.031, 0.145, -0.031
-3.5446, -0.1264, 42.0983, -0.038, 0.168, -0.229
-3.6709, -0.0175, 42.2626, 0.099, 0.046, -0.023
-3.6845, -0.0844, 43.2057, -0.130, 0.183, -0.168
-3.7465, -0.0491, 41.8780, 0.000, 0.053, -0.092
-3.5481, -0.0667, 41.6156, -0.076, 0.130, -0.061
-3.6329, -0.1824, 42.6176, 0.038, 0.061, -0.092
-3.6427, -0.0560, 43.1847, -0.023, 0.015, 0.008
-3.5980, -0.0105, 43.1847, -0.038, 0.015, -0.160
-3.6570, 0.0456, 40.2759, -0.076, 0.107, 0.053
-3.7023, -0.1157, 41.8780, 0.114, -0.099, 0.023
-3.6391, -0.0316, 41.4760, -0.137, 0.183, -0.320
-3.4719, -0.1087, 43.4849, 0.092, 0.015, 0.137
-3.6151, 0.0210, 41.8960, -0.046, 0.023, -0.214
-3.6354, -0.1124, 41.8960, 0.000, 0.221, -0.122
-3.6757, -0.0912, 41.5170, 0.031, -0.061, 0.122
-3.6470, -0.0738, 43.4758, 0.084, 0.130, -0.214
-3.5060, -0.1157, 42.7767, -0.069, 0.084, -0.061
-3.7713, -0.0490, 42.1663, -0.038, 0.038, -0.031
-3.5498, -0.0211, 41.5571, -0.008, 0.191, -0.107

